ano,mes,regiao,uf,nome_uf,descricao_sexo,faixa_etaria,tipo_sintoma,descricao_pergunta,qtd_registros
2020,9,Sudeste,33,Rio de Janeiro,Homem,61-70,,"Na semana passada, estava temporariamente afastado de algum trabalho?",118
2020,9,Sudeste,35,São Paulo,Homem,61-70,,"Na semana passada, estava temporariamente afastado de algum trabalho?",93
2020,9,Sudeste,35,São Paulo,Homem,41-50,,"Na semana passada, estava temporariamente afastado de algum trabalho?",124
2020,9,Sul,42,Santa Catarina,Mulher,71+,,"Na semana passada, estava temporariamente afastado de algum trabalho?",5
2020,9,Sul,43,Rio Grande do Sul,Homem,51-60,,"Na semana passada, estava temporariamente afastado de algum trabalho?",119
2020,9,Sul,43,Rio Grande do Sul,Mulher,71+,,Providência tomada para recuperar dos sintomas foi outra,2
2020,9,Sul,43,Rio Grande do Sul,Homem,51-60,,Providência tomada para recuperar dos sintomas foi outra,2
2020,9,Sul,43,Rio Grande do Sul,Mulher,41-50,,Providência tomada para recuperar dos sintomas foi outra,1
2020,9,Sul,43,Rio Grande do Sul,Homem,11-20,,Providência tomada para recuperar dos sintomas foi outra,1
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,61-70,,"Na semana passada, estava temporariamente afastado de algum trabalho?",19
2020,9,Centro-Oeste,51,Mato Grosso,Homem,41-50,,"Na semana passada, estava temporariamente afastado de algum trabalho?",33
2020,9,Centro-Oeste,53,Distrito Federal,Homem,31-40,,"Na semana passada, estava temporariamente afastado de algum trabalho?",19
2020,9,Sudeste,35,São Paulo,Homem,31-40,,Tem mais de um trabalho,137
2020,9,Sudeste,35,São Paulo,Mulher,11-20,,Tem mais de um trabalho,9
2020,9,Sul,41,Paraná,Mulher,51-60,,Tem mais de um trabalho,49
2020,9,Sul,43,Rio Grande do Sul,Homem,11-20,,Tem mais de um trabalho,12
2020,9,Centro-Oeste,52,Goiás,Homem,11-20,,Tem mais de um trabalho,6
2020,9,Sudeste,33,Rio de Janeiro,Mulher,61-70,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,5
2020,9,Sul,42,Santa Catarina,Homem,51-60,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,2
2020,9,Sul,43,Rio Grande do Sul,Mulher,71+,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Centro-Oeste,53,Distrito Federal,Homem,11-20,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,2
2020,9,Centro-Oeste,53,Distrito Federal,Homem,41-50,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,11-20,Respiratório leve,Na semana passada teve tosse?,6
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,71+,Respiratório leve,Na semana passada teve tosse?,6
2020,9,Centro-Oeste,52,Goiás,Mulher,41-50,Respiratório leve,Na semana passada teve tosse?,27
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,21-30,Respiratório leve,Na semana passada teve tosse?,13
2020,9,Sudeste,33,Rio de Janeiro,Mulher,31-40,Respiratório leve,Na semana passada teve dor de garganta?,20
2020,9,Sudeste,35,São Paulo,Mulher,61-70,Respiratório leve,Na semana passada teve dor de garganta?,25
2020,9,Sudeste,35,São Paulo,Mulher,41-50,Respiratório grave,Na semana passada teve dificuldade para respirar?,16
2020,9,Sul,41,Paraná,Homem,11-20,Respiratório leve,Na semana passada teve dor de garganta?,11
2020,9,Sul,42,Santa Catarina,Mulher,21-30,Respiratório leve,Na semana passada teve dor de garganta?,20
2020,9,Sul,42,Santa Catarina,Mulher,51-60,Respiratório grave,Na semana passada teve dificuldade para respirar?,6
2020,9,Sul,42,Santa Catarina,Homem,31-40,Respiratório leve,Na semana passada teve dor de garganta?,18
2020,9,Sul,42,Santa Catarina,Homem,71+,Respiratório leve,Na semana passada teve dor de garganta?,4
2020,9,Sul,42,Santa Catarina,Mulher,61-70,Respiratório leve,Na semana passada teve dor de garganta?,7
2020,9,Sul,42,Santa Catarina,Homem,11-20,Respiratório grave,Na semana passada teve dificuldade para respirar?,2
2020,9,Sul,43,Rio Grande do Sul,Homem,51-60,Respiratório leve,Na semana passada teve dor de garganta?,22
2020,9,Sul,43,Rio Grande do Sul,Mulher,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,19
2020,9,Sul,43,Rio Grande do Sul,Homem,0-10,Respiratório leve,Na semana passada teve dor de garganta?,4
2020,9,Centro-Oeste,51,Mato Grosso,Homem,41-50,Respiratório grave,Na semana passada teve dificuldade para respirar?,7
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,71+,Respiratório leve,Na semana passada teve dor de garganta?,4
2020,9,Centro-Oeste,51,Mato Grosso,Homem,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,2
2020,9,Centro-Oeste,52,Goiás,Mulher,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,9
2020,9,Centro-Oeste,52,Goiás,Homem,61-70,Respiratório leve,Na semana passada teve dor de garganta?,12
2020,9,Centro-Oeste,52,Goiás,Homem,51-60,Respiratório grave,Na semana passada teve dificuldade para respirar?,7
2020,9,Centro-Oeste,52,Goiás,Homem,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,13
2020,9,Centro-Oeste,53,Distrito Federal,Homem,31-40,Respiratório grave,Na semana passada teve dificuldade para respirar?,5
2020,9,Centro-Oeste,53,Distrito Federal,Homem,31-40,Respiratório leve,Na semana passada teve dor de garganta?,9
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,0-10,Respiratório leve,Na semana passada teve dor de garganta?,2
2020,9,Centro-Oeste,53,Distrito Federal,Homem,41-50,Respiratório leve,Na semana passada teve dor de garganta?,4
2020,9,Sudeste,33,Rio de Janeiro,Homem,41-50,Sintoma geral,Na semana passada teve febre?,12
2020,9,Sudeste,35,São Paulo,Mulher,21-30,Sintoma geral,Na semana passada teve febre?,9
2020,9,Sul,41,Paraná,Homem,51-60,Sintoma geral,Na semana passada teve febre?,6
2020,9,Sul,42,Santa Catarina,Homem,0-10,Sintoma geral,Na semana passada teve febre?,11
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,51-60,Sintoma geral,Na semana passada teve febre?,9
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,61-70,Sintoma geral,Na semana passada teve febre?,3
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,41-50,Sintoma geral,Na semana passada teve febre?,6
2020,9,Centro-Oeste,52,Goiás,Mulher,0-10,Sintoma geral,Na semana passada teve febre?,5
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,21-30,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",444
2020,9,Centro-Oeste,52,Goiás,Mulher,31-40,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",622
2020,9,Centro-Oeste,53,Distrito Federal,Homem,31-40,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",366
2020,9,Centro-Oeste,53,Distrito Federal,Mulher,31-40,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",320
2020,9,Centro-Oeste,53,Distrito Federal,Homem,11-20,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",53
2020,9,Sudeste,33,Rio de Janeiro,Mulher,31-40,,"Por causa disso, foi a algum estabelecimento de saúde?",13
2020,9,Sudeste,35,São Paulo,Mulher,31-40,,"Por causa disso, foi a algum estabelecimento de saúde?",32
2020,9,Sul,41,Paraná,Mulher,41-50,,"Por causa disso, foi a algum estabelecimento de saúde?",26
2020,9,Sul,41,Paraná,Mulher,11-20,,"Ao procurar o hospital, teve que ficar internado por um dia ou mais",1
2020,9,Sul,41,Paraná,Mulher,31-40,,"Por causa disso, foi a algum estabelecimento de saúde?",26
2020,9,Sul,42,Santa Catarina,Mulher,0-10,,"Por causa disso, foi a algum estabelecimento de saúde?",5
2020,9,Sul,43,Rio Grande do Sul,Mulher,11-20,,"Por causa disso, foi a algum estabelecimento de saúde?",9
2020,9,Sul,43,Rio Grande do Sul,Mulher,71+,,"Por causa disso, foi a algum estabelecimento de saúde?",32
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,51-60,,"Por causa disso, foi a algum estabelecimento de saúde?",11
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,31-40,,"Por causa disso, foi a algum estabelecimento de saúde?",8
2020,9,Centro-Oeste,51,Mato Grosso,Homem,71+,,"Por causa disso, foi a algum estabelecimento de saúde?",5
2020,9,Centro-Oeste,51,Mato Grosso,Homem,0-10,,"Por causa disso, foi a algum estabelecimento de saúde?",6
2020,9,Centro-Oeste,51,Mato Grosso,Homem,21-30,,"Por causa disso, foi a algum estabelecimento de saúde?",12
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,71+,,"Ao procurar o hospital, teve que ficar internado por um dia ou mais",1
2020,9,Centro-Oeste,52,Goiás,Mulher,31-40,,"Por causa disso, foi a algum estabelecimento de saúde?",16
2020,9,Centro-Oeste,52,Goiás,Homem,11-20,,"Por causa disso, foi a algum estabelecimento de saúde?",6
2020,9,Sudeste,33,Rio de Janeiro,Homem,21-30,,"Na semana passada, estava temporariamente afastado de algum trabalho?",93
2020,9,Sul,42,Santa Catarina,Homem,51-60,,"Na semana passada, estava temporariamente afastado de algum trabalho?",70
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,21-30,,Providência tomada para recuperar dos sintomas foi outra,1
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Mulher,11-20,,"Na semana passada, estava temporariamente afastado de algum trabalho?",5
2020,9,Centro-Oeste,52,Goiás,Homem,21-30,,"Na semana passada, estava temporariamente afastado de algum trabalho?",24
2020,9,Centro-Oeste,52,Goiás,Homem,11-20,,"Na semana passada, estava temporariamente afastado de algum trabalho?",13
2020,9,Centro-Oeste,53,Distrito Federal,Homem,11-20,,"Na semana passada, estava temporariamente afastado de algum trabalho?",6
2020,9,Sudeste,33,Rio de Janeiro,Homem,51-60,,Tem mais de um trabalho,74
2020,9,Sudeste,35,São Paulo,Mulher,61-70,,Tem mais de um trabalho,20
2020,9,Sul,41,Paraná,Mulher,71+,,Tem mais de um trabalho,1
2020,9,Centro-Oeste,50,Mato Grosso do Sul,Homem,61-70,,Tem mais de um trabalho,7
2020,9,Centro-Oeste,51,Mato Grosso,Mulher,21-30,,Tem mais de um trabalho,20
2020,9,Centro-Oeste,52,Goiás,Mulher,51-60,,Tem mais de um trabalho,18
2020,9,Sudeste,33,Rio de Janeiro,Mulher,11-20,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Sul,41,Paraná,Mulher,21-30,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Sul,43,Rio Grande do Sul,Mulher,61-70,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,5
2020,9,Centro-Oeste,52,Goiás,Homem,31-40,,Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde,1
2020,9,Centro-Oeste,51,Mato Grosso,Homem,61-70,Respiratório leve,Na semana passada teve tosse?,14
2020,9,Centro-Oeste,52,Goiás,Homem,41-50,Respiratório leve,Na semana passada teve tosse?,24
2020,9,Centro-Oeste,53,Distrito Federal,Homem,61-70,Respiratório leve,Na semana passada teve tosse?,5
2020,9,Centro-Oeste,53,Distrito Federal,Homem,0-10,Respiratório leve,Na semana passada teve tosse?,1
2020,9,Sudeste,33,Rio de Janeiro,Mulher,31-40,Respiratório grave,Na semana passada teve dificuldade para respirar?,10
2020,9,Sudeste,33,Rio de Janeiro,Homem,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,7
2020,9,Sudeste,35,São Paulo,Homem,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,10
2020,9,Sudeste,35,São Paulo,Homem,51-60,Respiratório grave,Na semana passada teve dificuldade para respirar?,9
2020,9,Sul,41,Paraná,Homem,21-30,Respiratório leve,Na semana passada teve dor de garganta?,12
2020,9,Sul,42,Santa Catarina,Mulher,71+,Respiratório leve,Na semana passada teve dor de garganta?,5
2020,9,Sul,42,Santa Catarina,Homem,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,1
2020,9,Sul,43,Rio Grande do Sul,Homem,21-30,Respiratório grave,Na semana passada teve dificuldade para respirar?,10
2020,9,Sul,43,Rio Grande do Sul,Homem,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,14
2020,9,Sul,43,Rio Grande do Sul,Homem,21-30,Respiratório leve,Na semana passada teve dor de garganta?,21
2020,9,Centro-Oeste,51,Mato Grosso,Homem,61-70,Respiratório grave,Na semana passada teve dificuldade para respirar?,6
2020,9,Centro-Oeste,52,Goiás,Mulher,21-30,Respiratório leve,Na semana passada teve dor de garganta?,22
2020,9,Centro-Oeste,52,Goiás,Mulher,51-60,Respiratório leve,Na semana passada teve dor de garganta?,20
2020,9,Centro-Oeste,52,Goiás,Mulher,71+,Respiratório leve,Na semana passada teve dor de garganta?,7
2020,9,Centro-Oeste,52,Goiás,Mulher,71+,Respiratório grave,Na semana passada teve dificuldade para respirar?,11
2020,9,Centro-Oeste,52,Goiás,Mulher,0-10,Respiratório leve,Na semana passada teve dor de garganta?,7
2020,9,Centro-Oeste,53,Distrito Federal,Homem,21-30,Respiratório leve,Na semana passada teve dor de garganta?,7
2020,9,Centro-Oeste,53,Distrito Federal,Homem,61-70,Respiratório leve,Na semana passada teve dor de garganta?,3
2020,9,Sudeste,33,Rio de Janeiro,Homem,0-10,Sintoma geral,Na semana passada teve febre?,4
2020,9,Sudeste,33,Rio de Janeiro,Mulher,61-70,Sintoma geral,Na semana passada teve febre?,7
2020,9,Sudeste,35,São Paulo,Homem,71+,Sintoma geral,Na semana passada teve febre?,3
2020,9,Centro-Oeste,51,Mato Grosso,Homem,21-30,Sintoma geral,Na semana passada teve febre?,15
2020,9,Sul,43,Rio Grande do Sul,Mulher,11-20,,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",179
