ano,mes,regiao,descricao_sexo,faixa_etaria,descricao_pergunta,descricao_resposta,qtd_registros
2020,9,Centro-Oeste,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",2
2020,9,Sudeste,Mulher,21-30,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,3457
2020,9,Sudeste,Mulher,31-40,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,8181
2020,9,Sudeste,Homem,51-60,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,6667
2020,9,Sudeste,Mulher,41-50,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,4065
2020,9,Sudeste,Homem,31-40,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",106
2020,9,Sudeste,Mulher,71+,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",40
2020,9,Sul,Homem,21-30,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,3205
2020,9,Sul,Mulher,41-50,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,1879
2020,9,Sul,Homem,21-30,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",51
2020,9,Sul,Mulher,51-60,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",58
2020,9,Sudeste,Homem,71+,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,36
2020,9,Sudeste,Homem,21-30,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,3
2020,9,Sudeste,Mulher,41-50,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,3
2020,9,Sul,Mulher,31-40,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,129
2020,9,Sul,Mulher,11-20,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,1
2020,9,Centro-Oeste,Homem,61-70,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,10
2020,9,Centro-Oeste,Homem,41-50,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,3
2020,9,Centro-Oeste,Homem,71+,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,6
2020,9,Sudeste,Mulher,71+,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",44
2020,9,Sudeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,Licença maternidade ou paternidade,47
2020,9,Sudeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,Outro motivo,13
2020,9,Sudeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,Outro motivo,19
2020,9,Sul,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",72
2020,9,Sul,Homem,31-40,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",69
2020,9,Sul,Homem,71+,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",20
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)",7
2020,9,Sul,Mulher,11-20,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,5
2020,9,Centro-Oeste,Homem,41-50,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,24
2020,9,Centro-Oeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",16
2020,9,Centro-Oeste,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,Outro motivo,8
2020,9,Centro-Oeste,Mulher,11-20,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",29
2020,9,Sudeste,Homem,71+,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,3704
2020,9,Sudeste,Mulher,51-60,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,3339
2020,9,Sudeste,Mulher,11-20,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,6583
2020,9,Sudeste,Mulher,51-60,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,5134
2020,9,Sul,Homem,61-70,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,1143
2020,9,Sul,Homem,71+,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,2229
2020,9,Sul,Homem,51-60,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",55
2020,9,Sul,Mulher,21-30,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, e pelo menos um morador conseguiu",328
2020,9,Sul,Homem,11-20,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",78
2020,9,Sudeste,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,14
2020,9,Sudeste,Mulher,21-30,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,4
2020,9,Sudeste,Homem,31-40,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,4
2020,9,Sul,Mulher,61-70,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,8
2020,9,Sul,Homem,21-30,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,10
2020,9,Sul,Homem,11-20,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,1
2020,9,Sul,Homem,31-40,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,1
2020,9,Sul,Homem,61-70,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,1
2020,9,Centro-Oeste,Mulher,41-50,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,92
2020,9,Centro-Oeste,Homem,51-60,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,65
2020,9,Centro-Oeste,Mulher,41-50,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,3
2020,9,Centro-Oeste,Mulher,21-30,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,1
2020,9,Sudeste,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,53
2020,9,Sudeste,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",36
2020,9,Sudeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,Outro motivo,24
2020,9,Sudeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",33
2020,9,Sudeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)",3
2020,9,Sul,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",20
2020,9,Sul,Homem,11-20,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",2
2020,9,Sul,Mulher,71+,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",1
2020,9,Centro-Oeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",55
2020,9,Centro-Oeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,Outro motivo,7
2020,9,Centro-Oeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",99
2020,9,Centro-Oeste,Mulher,71+,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,3
2020,9,Centro-Oeste,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",5
2020,9,Centro-Oeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",1
2020,9,Sudeste,Homem,0-10,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,6245
2020,9,Sudeste,Mulher,31-40,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, e pelo menos um morador conseguiu",573
2020,9,Sudeste,Homem,21-30,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,6545
2020,9,Sudeste,Homem,51-60,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, e pelo menos um morador conseguiu",455
2020,9,Sudeste,Mulher,51-60,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",130
2020,9,Sudeste,Mulher,31-40,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,4
2020,9,Sudeste,Homem,31-40,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,25
2020,9,Sudeste,Mulher,61-70,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,17
2020,9,Sul,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,1
2020,9,Sul,Mulher,61-70,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,3
2020,9,Centro-Oeste,Homem,61-70,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,1
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,Outro motivo,23
2020,9,Sul,Homem,21-30,Qual o principal motivo deste afastamento temporário?,Outro motivo,11
2020,9,Sul,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",21
2020,9,Sul,Homem,51-60,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",25
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",25
2020,9,Sul,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",6
2020,9,Sul,Homem,51-60,Qual o principal motivo deste afastamento temporário?,"Outro tipo de licença remunerada (estudo, paternidade, casamento, licença prêmio, etc.)",4
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",6
2020,9,Sul,Homem,11-20,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,3
2020,9,Sul,Homem,41-50,Qual o principal motivo deste afastamento temporário?,Licença maternidade ou paternidade,1
2020,9,Sul,Homem,71+,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",1
2020,9,Centro-Oeste,Homem,31-40,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",54
2020,9,Centro-Oeste,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,Outro motivo,6
2020,9,Centro-Oeste,Homem,31-40,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",4
2020,9,Centro-Oeste,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",3
2020,9,Centro-Oeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,Outro motivo,3
2020,9,Centro-Oeste,Homem,71+,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",13
2020,9,Centro-Oeste,Homem,71+,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",1
2020,9,Sudeste,Mulher,61-70,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,5862
2020,9,Sudeste,Homem,71+,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,3455
2020,9,Sudeste,Mulher,51-60,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,7760
2020,9,Sudeste,Mulher,41-50,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,4591
2020,9,Sudeste,Homem,11-20,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,7131
2020,9,Sudeste,Mulher,31-40,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",120
2020,9,Sul,Mulher,11-20,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,Não solicitou,3646
2020,9,Sul,Homem,31-40,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,671
2020,9,Sul,Mulher,61-70,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,645
2020,9,Sul,Homem,41-50,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, e pelo menos um morador conseguiu",390
2020,9,Sul,Mulher,31-40,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",61
2020,9,Sul,Mulher,11-20,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, mas nenhum morador conseguiu",59
2020,9,Sudeste,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,8
2020,9,Sul,Homem,11-20,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,11
2020,9,Sul,Homem,51-60,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,93
2020,9,Sul,Mulher,61-70,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,44
2020,9,Sul,Mulher,31-40,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,13
2020,9,Sul,Mulher,41-50,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,7
2020,9,Centro-Oeste,Homem,41-50,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,43
2020,9,Centro-Oeste,Homem,41-50,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,4
2020,9,Sudeste,Homem,51-60,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",311
2020,9,Sudeste,Mulher,11-20,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",84
2020,9,Sudeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",194
2020,9,Sudeste,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",44
2020,9,Sudeste,Homem,41-50,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",24
2020,9,Sudeste,Mulher,11-20,Qual o principal motivo deste afastamento temporário?,Outro motivo,5
2020,9,Sudeste,Mulher,11-20,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",4
2020,9,Sudeste,Mulher,21-30,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",2
2020,9,Sul,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",199
2020,9,Sul,Homem,11-20,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",5
2020,9,Sul,Mulher,51-60,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",19
2020,9,Sul,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",23
2020,9,Sul,Homem,21-30,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,19
2020,9,Sul,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,41
2020,9,Centro-Oeste,Mulher,41-50,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",151
2020,9,Centro-Oeste,Mulher,61-70,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",67
2020,9,Centro-Oeste,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,"Estava em quarentena, isolamento, distanciamento social ou férias coletivas",118
2020,9,Sudeste,Mulher,11-20,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,4422
2020,9,Sudeste,Homem,61-70,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,1872
2020,9,Sudeste,Mulher,71+,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, e pelo menos um morador conseguiu",202
2020,9,Sudeste,Homem,51-60,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,2515
2020,9,Sudeste,Homem,61-70,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Não,3712
2020,9,Sudeste,Homem,51-60,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,4704
2020,9,Sudeste,Homem,0-10,Durante o período da pandemia alguém deste domicílio solicitou algum empréstimo?,"Sim, e pelo menos um morador conseguiu",459
2020,9,Sul,Homem,31-40,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,3902
2020,9,Sul,Mulher,71+,"Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?",Sim,126
2020,9,Sudeste,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,330
2020,9,Sudeste,Mulher,61-70,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,151
2020,9,Sul,Mulher,51-60,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,122
2020,9,Sul,Homem,71+,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,16
2020,9,Sul,Mulher,41-50,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,13
2020,9,Sul,Homem,61-70,Há quanto tempo está afastado desse trabalho?,2 anos ou mais,7
2020,9,Sul,Homem,31-40,Há quanto tempo está afastado desse trabalho?,De 1 ano a menos de 2 anos,1
2020,9,Centro-Oeste,Mulher,41-50,Há quanto tempo está afastado desse trabalho?,Menos de 1 mês,15
2020,9,Centro-Oeste,Mulher,11-20,Há quanto tempo está afastado desse trabalho?,De 1 mês a menos de 1 ano,19
2020,9,Sudeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Férias, folga ou jornada de trabalho variável",34
2020,9,Sudeste,Homem,21-30,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",17
2020,9,Sudeste,Homem,11-20,Qual o principal motivo deste afastamento temporário?,Licença remunerada por motivo de saúde ou acidente da própria pessoa,5
2020,9,Sudeste,Mulher,51-60,Qual o principal motivo deste afastamento temporário?,"Afastamento do próprio negócio/empresa por motivo de gestação, saúde, acidente, etc., sem ser remunerado por instituto de previdência",31
2020,9,Sudeste,Mulher,31-40,Qual o principal motivo deste afastamento temporário?,"Fatores ocasionais (mau tempo, paralisação nos serviços de transportes, etc.)",4
